round,pick,name,nfl,college,rating_nfl,height_cm,weight_kg,comp_col,td_int_col,rating_col
2,32,Mike Elkins,Chiefs,Wake Forest,16.7,190,100,54.9,0.86,114.0
2,51,Billy Joe Tolliver,Chargers,Texas Tech,67.7,185,98,49.0,0.95,109.8
3,74,Anthony Dilweg,Packers,Duke,72.3,190,97,57.6,1.125,128.9
3,83,Erik Wilhelm,Bengals,Oregon State,71.1,190,98,58.8,0.8524590163934426,115.4
1,1,Vinny Testaverde,Buccaneers,Miami (FL),75.0,196,106,61.3,1.92,152.9
1,6,Kelly Stouffer,Cardinals,Colorado State,54.5,190,95,56.8,0.9473684210526315,120.2
1,13,Chris Miller,Falcons,Oregon,74.9,188,96,55.2,1.0769230769230769,116.4
3,64,Cody Carlson,Oilers,Baylor,70.0,190,91,51.9,0.9705882352941176,122.2
4,88,Mark Vlasic,Chargers,Iowa,63.2,190,92,56.8,2.8,141.1
4,110,Steve Beuerlein,Raiders,Notre Dame,80.3,190,99,55.6,0.6136363636363636,120.3
1,12,Chuck Long,Lions,Iowa,64.5,193,98,64.9,1.5217391304347827,150.5
2,47,Jack Trudeau,Colts,Illinois,63.3,190,102,63.9,1.3421052631578947,131.4
3,67,Bubby Brister,Steelers,N.E. Louisiana,72.3,190,92,50.7,0.5,88.5
3,71,Hugh Millen,Rams,Washington,73.5,196,97,56.8,0.4782608695652174,105.1
4,99,Doug Gaynor,Bengals,Long Beach State,108.3,188,92,68.1,1.0,141.8
1,32,Bernie Kosar,Browns,Miami (FL),81.8,196,95,62.3,1.3793103448275863,139.8
2,37,Randall Cunningham,Eagles,UNLV,81.5,193,96,58.1,2.033333333333333,137.3
3,73,Tim Riordan,Cardinals,Temple,39.6,185,83,56.5,0.9523809523809523,116.6
2,38,Boomer Esiason,Bengals,Maryland,81.1,196,101,54.2,1.5555555555555556,126.0
3,59,Jeff Hostetler,Giants,West Virginia,80.5,190,97,51.6,1.4705882352941178,119.7
3,80,Rick McIvor,Cardinals,Texas,39.6,193,95,42.9,0.7894736842105263,111.0
3,83,Jay Schroeder,Redskins,UCLA,71.7,193,97,58.6,1.3333333333333333,150.6
5,113,Steve Pelluer,Cowboys,Washington,71.6,193,94,57.7,1.1538461538461537,115.2
1,7,Todd Blackledge,Chiefs,Penn State,60.2,190,102,51.8,1.0,121.4
1,15,Tony Eason,Patriots,Illinois,79.7,193,96,61.4,1.2758620689655173,133.8
1,27,Dan Marino,Dolphins,Pittsburgh,86.4,193,101,57.6,1.144927536231884,127.7
1,4,Art Schlichter,Colts,Ohio State,42.6,190,95,52.3,1.0869565217391304,126.6
1,5,Jim McMahon,Bears,Brigham Young,78.2,185,88,61.6,2.4705882352941178,156.9
2,44,Oliver Luck,Oilers,West Virginia,64.1,188,88,50.9,0.9545454545454546,110.1
2,48,Matt Kofler,Bills,San Diego State,52.3,190,87,58.7,1.0,124.9
4,84,Mike Pagel,Colts,Arizona State,63.3,188,93,51.5,1.7419354838709677,121.8
1,32,Dave Wilson,Saints,Illinois,63.8,190,93,52.9,1.2666666666666666,117.2
4,90,Tom Flick,Redskins,Washington,25.9,188,86,60.3,1.2,133.4
4,98,Mark Herrmann,Broncos,Purdue,64.3,193,90,59.0,0.9466666666666667,129.2
1,28,Mark Malone,Steelers,Arizona State,61.9,193,101,49.0,0.8214285714285714,107.6
4,85,Eric Hipple,Lions,Utah State,68.7,188,88,54.0,0.8095238095238095,117.3
4,89,Rusty Lisch,Cardinals,Notre Dame,25.1,190,96,51.0,0.6666666666666666,116.1
4,101,Ed Luther,Chargers,San Jose State,63.2,190,93,53.7,0.9038461538461539,112.3
4,109,Paul McDonald,Browns,USC,65.7,188,83,59.7,2.8461538461538463,148.2
